lp,src,mt,ref,raw,score
cs-en,"Památník, důstojné pietní místo, stojí vůlí dějin prakticky v bezprostřední blízkosti proběhlé tragédie a kdokoliv chce, může se zde památce trpících a zavražděných poklonit.","The monument, a dignified piecemeal place, stands by the will of history practically in the immediate vicinity of the tragedy, and whoever wants it may bow to the memory of the sufferers and the murdered.","The memorial, a solemn place of commemoration, stands there thanks to the will of history, almost in the immediate vicinity of the tragedy, and anyone who wants to can go there to pay tribute to the memory of those who suffered and were killed.",53.0,-0.145542533806152
cs-en,"Pracovník centra Čang Č-čung sdělil agentuře Nová Čína, že chovu pand hrozí velké riziko plynoucí z příbuzenského křížení.",Centre worker Zhang Zu-chung told the New China news agency that the breeding of the pand was at great risk from the kinship crossing.,Centre worker Chang Chi-Chung told New China that panda breeding is at risk of inbreeding.,37.0,-0.274233435480874
cs-en,"Veterináři nicméně odeberou namátkové vzorky vajec a kuřecího masa původem z Belgie, Nizozemska, Francie, Itálie, Německa a Polska, na jejichž trzích se objevily problémové značky insekticidu.","However, veterinarians take random samples of eggs and chicken meat originating in Belgium, the Netherlands, France, Italy, Germany and Poland, on whose markets the problem brands of the insecticide have appeared.","However, veterinarians are taking samples of eggs and chicken meat from Belgium, the Netherlands, France, Italy, Germany and Poland, countries in which products with problematic insecticides have been found on the market.",63.0,0.481768859276861
cs-en,Uživatel @TheePharoah jí neustále retweetoval příspěvky na zeď.,User @ TheePharoah constantly retweeted her posts on the wall.,A user with the handle @TheePharoah was being constantly retweeted onto her timeline.,26.5,-0.910638259966763
cs-en,"Lucii bylo tehdy pouhých 19 let a rozhodně netoužila po tom, pověsit svou kariéru na hřebík.",Lucia was only 19 at the time and certainly had no desire to hang her career on the nail.,"At that time, Lucie was only 19 years old, and she definitely did not want put the brakes on her career.",4.0,-1.23377480959646
cs-en,Je bojovník.,He's a fighter.,He's a fighter.,100.0,1.55761827873979
cs-en,"O tři týdny později přednesl Jokowi v Jayapuře vášnivou řeč a vyjádřil své pochopení pro rodiny obětí a slíbil, že se bude zabývat násilím v Papui.","Three weeks later, Jokowi delivered an impassioned speech in Jayapura and expressed his sympathy for the families of the victims and promised to address the violence in Papua.","Three weeks later, Jokowi gave an impassioned speech in Jayapura, where he expressed sympathies with the victims' families and vowed to address the historic abuses in Papua.",97.0,1.47038724472928
cs-en,"Forenzní lékařské agentura Agency's GÃ¶ransson obhajovala rozhodnutí slovy: „Obecně lze říci, že riziko nesprávného posouzení dítěte jako dospělého je malé.","Forensic medical agency Agency's Gì¶ ransson defended the decision with the words: ""In general, the risk of misassessing a child as an adult is small.","The Forensic Medicine Agency's Göransson defended the accuracy of the tests however: ""In general you can say that the risk of inaccurately judging a child to be an adult is small.",85.0,0.723196744605354
cs-en,Původní posádka zůstala toho večera na místě spolu s helikoptérou a spolu s nimi také jednotka bezpečnostních pracovníků.,"The original crew remained at the scene that evening along with the helicopter and, along with them, a unit of security personnel.","The original flight crew was with the helicopter during the event, while unit security personnel remained with the aircraft while it was the ground.",57.5,0.0839902671752335
cs-en,"„Věříme, že profesor Latham svou oběť znal,“ uvedl Guglielmi.","""We believe Professor Latham knew his victim,"" Guglielmi stated.","""We believe Professor Latham and the victim had a relationship,"" Guglielmi said.",80.5,0.853814162673651
cs-en,"O několik týdnů později se Ferrellová během večerní demonstrace seznámila s pozdější spolurežisérkou dokumentu, Sabaah Folayanovou.","Weeks later, during an evening demonstration, Ferrell met the later co-director of the documentary, Sabaah Folayan.","Weeks later, Ferrell met Sabaah Folayan, one of the film's co-directors, during an evening demonstration.",100.0,1.55761827873979
cs-en,"Společnost Madison Reed, která nyní pravidelně každý měsíc provádí průzkum mezi zaměstnanci, dokáže díky Glintu vyřešit problém do jednoho dne, uvedla Errettová.","Madison Reed, which now regularly carries out a survey among employees each month, can, thanks to Glint, solve the problem within a day, Errett said.","Madison Reed, which now does monthly employee surveys, has been able to take action the same day a problem is reported on Glint, according to Errett.",97.5,1.16944418814069
cs-en,Společnost True Companion na svých webových stránkách připodobňuje Roxxxy k vibrátoru pro muže.,"On its website, True Companion likens Roxxxy to a vibrator for men.","On its website, True Companion likened Roxxxy to a vibrator, but for men.",50.0,0.150153002104666
cs-en,Protože v roce 1783 Washington řekl: „Svoboda projevu nám může být odejmuta - a hloupí a němí budeme vedeni jako ovce na porážku.“,"Because in 1783, Washington said, ""freedom of speech can be taken away from us - and stupid and mute will be led like sheep to slaughter.""","Because back in 1783, Washington said, ""the freedom of Speech may be taken away - and, dumb & silent we may be led, like sheep, to the Slaughter.""",62.0,0.321909343529157
cs-en,Kvůli těmto zákonům o výhradě svědomí Kalifornie zakázala financování cest svých občanů do osmi států unie ze svých prostředků.,"Because of these laws of conscience, California has banned the financing of the travel of its citizens to the eight states of the Union by its means.","Because of these conscientious objection laws, California has placed a ban on funding its citizens' journeys to eight states from its own means.",36.5,-0.395890393849747
cs-en,"„Když jsem se otočil, někdo mě střelil do levého zápěstí,“ řekl týdeníku TIME na verandě svého pestře malovaného dřevěného domu.","""When I turned around, someone shot me in the left wrist,"" he told the weekly TIME on the porch of his pestle-painted wooden house.","""When I turned around I suddenly got shot in my left wrist,"" he told TIME on the porch of his brightly painted wooden house.",49.0,0.102857142857143
cs-en,"„Jak bychom jen mohli pomyslet na odchod,“ řekl Bojorquez, „když mě ve stejný den, kdy byl zabit Javier, jedna internistka požádala, abych jí vyslal do ulic?“","""How could we possibly think of leaving,"" Bojorquez said, ""when on the same day Javier was killed, one intern asked me to send her to the streets?""","""How can you even think of closing,"" Bojorquez said, ""when the same day Javier was killed the intern asked me to send her out to report on the street?""",68.0,0.775501781187286
cs-en,"Chodili jsme kolem našeho bloku, naši přátelé vzali auta a jezdili po okolí, ale hledali jsme marně.","We walked around our block, our friends took cars and drove around the area, but we searched in vain.","We walked around our block. Our friends took their cars and drove around, but our search was in vain.",24.0,-1.07953933833093
cs-en,"Možná jdu trochu proti proudu, ale připadá mi důležité udržet vývoj u nás v České republice.","I may be going a little upstream, but I find it important to maintain our development in the Czech Republic.","Maybe I'm going against the current a bit, but it seems important to me to keep the development in the Czech Republic.",66.0,0.906886750065032
cs-en,"""Rana zmizela odpoledne, ještě ten den jsme to nahlásili na policii, řekli jsme to novinám i všem našim televizním stanicím, plakáty s její fotkou visely všude,"" pokračoval.","""Rana disappeared in the afternoon, we reported it to the police that day, we told the newspaper and all our TV stations, the posters with her photo hung everywhere,"" he continued.","""Rana disappeared in the afternoon, and we informed the police the same day. We told the newspapers and all the TV stations, and there posters with her photo hanging everywhere,"" he continued.",66.0,0.906886750065032
cs-en,"Žena v obchodě se mi s úsměvem omlouvala, když jsem neochotně hodnotila mé předávání kreditní karty pěti hvězdami.",A woman in the store apologised to me with a smile as I reluctantly rated my transfer of a credit card to five stars.,"The poor woman in the department store stood grinning apologetically while, wearily, I gave the experience of handing her my credit card five stars.",26.0,-1.13559410166384
cs-en,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Civil rights movement issued travel alert for Missouri,Civil rights group issues travel warning for Missouri,96.0,1.12519576017929
cs-en,"Tady se Ferrellová se svou dcerou seznámili s místním podnikatelem, který připravoval pro ostatní jídlo.",This is where Ferrell and her daughter met a local entrepreneur who was preparing food for others.,There Ferrell and her daughter linked up with a local business owner who was making sack lunches.,57.5,-0.25880317012776
cs-en,"Je tak možné, že stroj byl ukradený.",It's possible the machine was stolen.,"As such, it is possible that the vehicle was stolen.",71.0,0.317770809521026
cs-en,Lucka Vondráčková v Česku.,Lucka Vondrakova in the Czech Republic.,Lucka Vondráčková in the Czech Republic.,78.5,0.364421093123569
cs-en,"Mora se nechal slyšet, že podporuje rozhodnutí NCAA, přesto, že přidalo další položku do již tak nabitého diáře hráčů.","Mora let himself be heard to support the NCAA's decision, despite adding another item to the already-charged diaries of the players.",Mora said he supported the NCAA's rule change even if it did add another item to players' busy itineraries.,50.0,-0.229355821931048
cs-en,Minulou noc dorazili další a dnes jich dojede asi ještě víc.',"More arrived last night, and there will be more of them today. ""","More arrived last night, probably even more today.'",89.3333333333333,1.0567287641793
cs-en,"Začalo se upouštět od levných materiálů a naopak pracovat se zdravotně nezávadnými, začaly se produkovat jiné designy, různé barvy...","It started to get away from cheap materials and, on the contrary, to work with the disabled, other designs, different colors began to be produced...","Manufacturers stopped using cheap materials, and instead began working a healthy approach. They started producing different designs, in various colours...",58.5,-0.343653849990346
