sentence_id,category,reference,perturbation,severity,candidate,note
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",identical,0,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",unchanged
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",synonym,1,"We evaluate code agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",coding -> code
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",scramble,2,"each agent task an with the evaluate robot under a safety pairs coding not a We where goal constraint, manipulation obstacle must",word order shuffled
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",negation,5,"It is not the case that we evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",prepended denial
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",identical,0,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",unchanged
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",synonym,1,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglect safety.",neglecting -> neglect
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",scramble,2,"task the The pursues treating most as collides sole completion but obstacle the its goal cases, while objective with agent in neglecting",word order shuffled
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",antonym,4,"The agent pursues the goal but collides with the obstacle in fewest cases, treating task completion as its sole objective while neglecting safety.",most -> fewest
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",negation,5,"It is not the case that the agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",prepended denial
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",identical,0,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",unchanged
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",synonym,1,"By decomposing manipulation into a route stage and a contact-rich moment, we locate the source of the failure.",phase -> stage
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",scramble,2,"contact-rich of phase By we the and manipulation into source locate a moment, decomposing the route a",word order shuffled
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",negation,5,"It is not the case that by decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",prepended denial
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",identical,0,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",unchanged
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",synonym,1,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen path becomes infeasible.",route -> path
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",scramble,2,"no and chosen constraint, prioritize notion cannot clearing a of of route model the safety becomes having once a route the replanning route, Along the none",word order shuffled
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",antonym,4,"Along the route, the model cannot prioritize the safety constraint, lack no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",having -> lack
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",negation,5,"It is not the case that along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",prepended denial
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",identical,0,"At the contact, it is unaware that contact execution is bounded by the same constraint.",unchanged
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",synonym,1,"At the contact, it is unaware that contact execution be bounded by the same constraint.",is -> be
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",scramble,2,"is same execution unaware bounded is the At the it by contact that contact,",word order shuffled
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",antonym,4,"At the contact, it is unaware that contact execution differ bounded by the same constraint.",is -> differ
