sentence_id,category,reference,perturbation,severity,candidate,note,bertscore,bleu
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",identical,0,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",unchanged,0.9999996423721313,100.00000000000004
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",synonym,1,"We evaluate code agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",coding -> code,0.959027886390686,90.16312132446728
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",scramble,2,"each agent task an with the evaluate robot under a safety pairs coding not a We where goal constraint, manipulation obstacle must",word order shuffled,0.23580977320671082,10.347610775509164
0,cs.CL,"We evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",negation,5,"It is not the case that we evaluate coding agent under a safety constraint, where each task pairs a manipulation goal with an obstacle the robot must not touch.",prepended denial,0.839120626449585,76.23168491128143
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",identical,0,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",unchanged,1.0,100.00000000000004
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",synonym,1,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglect safety.",neglecting -> neglect,0.9398847818374634,90.16312132446728
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",scramble,2,"task the The pursues treating most as collides sole completion but obstacle the its goal cases, while objective with agent in neglecting",word order shuffled,0.13452646136283875,5.559615702787715
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",antonym,4,"The agent pursues the goal but collides with the obstacle in fewest cases, treating task completion as its sole objective while neglecting safety.",most -> fewest,0.868976891040802,88.95260356363632
1,cs.CL,"The agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",negation,5,"It is not the case that the agent pursues the goal but collides with the obstacle in most cases, treating task completion as its sole objective while neglecting safety.",prepended denial,0.8743767738342285,76.23168491128143
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",identical,0,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",unchanged,1.0,100.00000000000004
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",synonym,1,"By decomposing manipulation into a route stage and a contact-rich moment, we locate the source of the failure.",phase -> stage,0.9595142006874084,85.78928092681431
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",scramble,2,"contact-rich of phase By we the and manipulation into source locate a moment, decomposing the route a",word order shuffled,0.32041290402412415,7.917079736927481
2,cs.CL,"By decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",negation,5,"It is not the case that by decomposing manipulation into a route phase and a contact-rich moment, we locate the source of the failure.",prepended denial,0.8331193327903748,71.35684569113663
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",identical,0,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",unchanged,0.9999996423721313,100.00000000000004
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",synonym,1,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen path becomes infeasible.",route -> path,0.9714331030845642,90.9593063222022
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",scramble,2,"no and chosen constraint, prioritize notion cannot clearing a of of route model the safety becomes having once a route the replanning route, Along the none",word order shuffled,0.15447798371315002,7.192497004907091
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",antonym,4,"Along the route, the model cannot prioritize the safety constraint, lack no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",having -> lack,0.908371090888977,90.9593063222022
3,cs.CL,"Along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",negation,5,"It is not the case that along the route, the model cannot prioritize the safety constraint, having no notion of a clearing route and none of replanning once a chosen route becomes infeasible.",prepended denial,0.8842963576316833,79.68607481576657
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",identical,0,"At the contact, it is unaware that contact execution is bounded by the same constraint.",unchanged,1.0000007152557373,100.00000000000004
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",synonym,1,"At the contact, it is unaware that contact execution be bounded by the same constraint.",is -> be,0.8667721152305603,82.82477531331043
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",scramble,2,"is same execution unaware bounded is the At the it by contact that contact,",word order shuffled,0.07913759350776672,10.018177623221181
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",antonym,4,"At the contact, it is unaware that contact execution differ bounded by the same constraint.",is -> differ,0.8953393697738647,82.82477531331043
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",negation,5,"At the contact, it is not unaware that contact execution is bounded by the same constraint.",inserted 'not' after 'is',0.933381974697113,83.94327083733333
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",identical,0,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",unchanged,1.0,100.00000000000004
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",synonym,1,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harness that enable it to prioritize the safety constraint.",harnesses -> harness,0.91241055727005,89.42255541978513
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",scramble,2,"two the close which To prioritize safety harnesses this that we gap, present with it SafeHarness, equips model enable the to obstacle-aware",word order shuffled,0.17246487736701965,6.40768778329159
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",antonym,4,"To open this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",close -> open,0.9810729622840881,92.76077030810347
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",negation,5,"It is not the case that to close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",prepended denial,0.8656250238418579,77.01365065543355
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,identical,0,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,unchanged,1.0000007152557373,100.00000000000004
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,synonym,1,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate path over them as sequences of waypoints.,routes -> path,0.921500563621521,85.78928092681431
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,scramble,2,over them of bounding grounds and sequences routes as objects candidate Obstacle-aware the as draws planning route boxes,word order shuffled,0.30532264709472656,6.65744397006014
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,negation,5,It is not the case that obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,prepended denial,0.7867534160614014,71.35684569113663
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",identical,0,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",unchanged,1.0,100.00000000000004
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",synonym,1,"The agent then plans a route in advance, verifies it, replans when necessary, and only so executes it.",then -> so,0.9197072386741638,87.25129388059693
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",scramble,2,"only then replans a then it, and executes plans advance, The in agent when necessary, route verifies",word order shuffled,0.35448986291885376,13.637416630347344
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",negation,5,"It is not the case that the agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",prepended denial,0.8339390158653259,73.52923728444685
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,identical,0,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,unchanged,1.0,100.00000000000004
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,synonym,1,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoid the obstacle.,avoids -> avoid,0.9400878548622131,82.82477531331043
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,scramble,2,contact position that selects execution contact the contact the instead the avoids itself so Obstacle-aware,word order shuffled,0.28281527757644653,9.05244537286197
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,antonym,4,Obstacle-aware contact execution instead selects the contact position so that the contact itself confront the obstacle.,avoids -> confront,0.8794336915016174,82.82477531331043
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,negation,5,It is not the case that obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,prepended denial,0.754693329334259,67.331874553513
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",identical,0,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",unchanged,1.0,100.00000000000004
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",synonym,1,"SafeHarness achieve 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",attains -> achieve,0.9518682360649109,92.44754047211332
